#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.740631E-04   0.198539E+08   0.198539E+08   0.257696E+08   0.257685E+08   0.000000E+00   0.198539E+08   0.198539E+08   0.198615E+08  -0.471804E+00   0.104120E+08   0.104120E+08   0.415589E-01
   0.103363E-03   0.198527E+08   0.198527E+08   0.251180E+08   0.251161E+08   0.000000E+00   0.198527E+08   0.198527E+08   0.198601E+08  -0.471766E+00   0.104114E+08   0.104114E+08   0.579308E-01
   0.144255E-03   0.198502E+08   0.198502E+08   0.238920E+08   0.238885E+08   0.000000E+00   0.198502E+08   0.198502E+08   0.198572E+08  -0.471691E+00   0.104100E+08   0.104100E+08   0.806609E-01
   0.201324E-03   0.198454E+08   0.198454E+08   0.216601E+08   0.216540E+08   0.000000E+00   0.198454E+08   0.198454E+08   0.198517E+08  -0.471547E+00   0.104075E+08   0.104075E+08   0.112072E+00
   0.280971E-03   0.198362E+08   0.198362E+08   0.178538E+08   0.178448E+08   0.000000E+00   0.198362E+08   0.198362E+08   0.198414E+08  -0.471278E+00   0.104026E+08   0.104026E+08   0.155109E+00
   0.392126E-03   0.198188E+08   0.198188E+08   0.121619E+08   0.121522E+08   0.000000E+00   0.198188E+08   0.198188E+08   0.198224E+08  -0.470784E+00   0.103933E+08   0.103933E+08   0.213229E+00
   0.547256E-03   0.197869E+08   0.197869E+08   0.568251E+07   0.567903E+07   0.000000E+00   0.197869E+08   0.197869E+08   0.197886E+08  -0.469918E+00   0.103763E+08   0.103763E+08   0.290120E+00
   0.763758E-03   0.197303E+08   0.197302E+08   0.166004E+07   0.166449E+07   0.000000E+00   0.197303E+08   0.197303E+08   0.197308E+08  -0.468478E+00   0.103462E+08   0.103462E+08   0.389690E+00
   0.106591E-02   0.196346E+08   0.196345E+08   0.930498E+06   0.926519E+06   0.000000E+00   0.196346E+08   0.196346E+08   0.196349E+08  -0.466163E+00   0.102955E+08   0.102955E+08   0.517605E+00
   0.148760E-02   0.194794E+08   0.194791E+08   0.226114E+06   0.217706E+06   0.000000E+00   0.194793E+08   0.194793E+08   0.194794E+08  -0.462457E+00   0.102137E+08   0.102137E+08   0.682351E+00
