# Filter response file - version: feb16
#
# Number of filters in file =  439
#
# Format:
#   "# <ifilter> <nlam> <name>"
#   "# DETAILS: e.g. energy or photon response? detector response included? atmosphere included?"
#   "# SOURCE: i.e. journal reference? web page? private communication from XXX on YYY?"
#   "# ADDED BY: Shaun Cole? Cedric Lacey? Andrew Benson? etc on dd/mm/yyyy"
#   "# lambda [A]    transmission"
#   "  <lambda1>     <trans_1>"
#   "  .........     ........."
#   "  <lambda_nlam> <trans_nlam>"
#  where:
#   <ifilter> = filter number
#   <nlam>    = number of wavelengths for this filter
#   <name>    = filter name (possibly including 2 letter identifier at start of string)
# Wavelengths are given in Angstroms.
# comment lines (DETAILS, SOURCE, ADDED BY etc) are optional but strongly recommended
# PLEASE INCLUDE THESE if you add a new filter!!
# you can have any number of such comment lines for each filter
# different filters must be separated by 1 or more blank lines
 


#     1   121 U+  Koo-Kron U+ filter (Koo's thesis)
# DETAILS: photographic filter. energy response. includes plate response? atmosphere?
# SOURCE: Bruzual & Charlot code, originally from Koo's thesis
# ADDED BY: Shaun Cole? 1993?
#  lambda [A]    filter response
   3000.000      0.0000000E+00
   3010.000      2.3200004E-03
   3020.000      5.0799996E-03
   3030.000      8.2799997E-03
   3040.000      1.1920001E-02
   3050.000      1.5999999E-02
   3060.000      2.0520002E-02
   3070.000      2.5479998E-02
   3080.000      3.0880000E-02
   3090.000      3.6720000E-02
   3100.000      4.3000001E-02
   3110.000      4.7964998E-02
   3120.000      5.3760000E-02
   3130.000      6.0385000E-02
   3140.000      6.7840002E-02
   3150.000      7.6124996E-02
   3160.000      8.5240006E-02
   3170.000      9.5184997E-02
   3180.000      0.1059600    
   3190.000      0.1175650    
   3200.000      0.1300000    
   3210.000      0.1486950    
   3220.000      0.1678800    
   3230.000      0.1875550    
   3240.000      0.2077200    
   3250.000      0.2283750    
   3260.000      0.2495200    
   3270.000      0.2711550    
   3280.000      0.2932800    
   3290.000      0.3158950    
   3300.000      0.3390000    
   3310.000      0.3585125    
   3320.000      0.3778000    
   3330.000      0.3968625    
   3340.000      0.4157000    
   3350.000      0.4343125    
   3360.000      0.4527000    
   3370.000      0.4708625    
   3380.000      0.4888000    
   3390.000      0.5065125    
   3400.000      0.5240000    
   3410.000      0.5403325    
   3420.000      0.5566800    
   3430.000      0.5730425    
   3440.000      0.5894200    
   3450.000      0.6058124    
   3460.000      0.6222200    
   3470.000      0.6386425    
   3480.000      0.6550800    
   3490.000      0.6715325    
