Function: power spectrum
Method: deterministic, exact
Number of grid cells: 256^3 (top-hat smoothing with shift)
Warning: some power lost by smoothing for k>1.219E+00
Procorr version 1.9
--------------------------------------------------------------
Wave vector k [1/input length unit], power spectrum p(k)
 4.500E-02, 2.084E+03, 5.526E+02
 6.785E-02, 1.628E+03, 2.865E+02
 9.415E-02, 9.623E+02, 1.220E+02
 1.217E-01, 7.094E+02, 6.961E+01
 1.526E-01, 4.959E+02, 3.880E+01
 1.832E-01, 4.304E+02, 2.804E+01
 2.116E-01, 3.105E+02, 1.752E+01
 2.401E-01, 2.335E+02, 1.161E+01
 2.710E-01, 1.942E+02, 8.555E+00
 3.020E-01, 1.782E+02, 7.047E+00
 3.310E-01, 1.495E+02, 5.393E+00
 3.599E-01, 1.195E+02, 3.965E+00
 3.903E-01, 1.051E+02, 3.215E+00
 4.205E-01, 9.152E+01, 2.600E+00
 4.493E-01, 8.410E+01, 2.236E+00
 4.789E-01, 7.232E+01, 1.804E+00
 5.096E-01, 6.743E+01, 1.581E+00
 5.401E-01, 5.957E+01, 1.318E+00
 5.696E-01, 5.607E+01, 1.176E+00
 5.990E-01, 4.984E+01, 9.947E-01
 6.293E-01, 4.770E+01, 9.060E-01
 6.593E-01, 4.229E+01, 7.669E-01
 6.888E-01, 3.863E+01, 6.705E-01
 7.184E-01, 3.717E+01, 6.188E-01
 7.484E-01, 3.465E+01, 5.537E-01
 7.788E-01, 3.216E+01, 4.940E-01
 8.087E-01, 3.031E+01, 4.484E-01
 8.386E-01, 2.864E+01, 4.086E-01
 8.686E-01, 2.725E+01, 3.755E-01
 8.983E-01, 2.541E+01, 3.385E-01
 9.281E-01, 2.403E+01, 3.099E-01
 9.578E-01, 2.319E+01, 2.899E-01
 9.876E-01, 2.212E+01, 2.681E-01
 1.018E+00, 2.079E+01, 2.447E-01
 1.048E+00, 1.979E+01, 2.263E-01
 1.078E+00, 1.916E+01, 2.130E-01
 1.108E+00, 1.802E+01, 1.949E-01
 1.138E+00, 1.759E+01, 1.853E-01
 1.167E+00, 1.675E+01, 1.720E-01
 1.197E+00, 1.621E+01, 1.623E-01
 1.227E+00, 1.545E+01, 1.510E-01
 1.257E+00, 1.474E+01, 1.406E-01
 1.287E+00, 1.443E+01, 1.344E-01
 1.317E+00, 1.378E+01, 1.255E-01
 1.347E+00, 1.343E+01, 1.196E-01
 1.377E+00, 1.293E+01, 1.127E-01
 1.406E+00, 1.228E+01, 1.048E-01
 1.436E+00, 1.194E+01, 9.984E-02
 1.466E+00, 1.152E+01, 9.431E-02
 1.497E+00, 1.110E+01, 8.908E-02
 1.526E+00, 1.080E+01, 8.496E-02
 1.556E+00, 1.042E+01, 8.047E-02
 1.586E+00, 1.027E+01, 7.779E-02
 1.616E+00, 9.763E+00, 7.261E-02
 1.646E+00, 9.496E+00, 6.937E-02
 1.676E+00, 9.189E+00, 6.595E-02
 1.706E+00, 9.034E+00, 6.370E-02
 1.736E+00, 8.757E+00, 6.070E-02
 1.766E+00, 8.454E+00, 5.762E-02
 1.795E+00, 8.257E+00, 5.535E-02
 1.826E+00, 8.034E+00, 5.299E-02
 1.855E+00, 7.830E+00, 5.082E-02
 1.885E+00, 7.556E+00, 4.828E-02
 1.915E+00, 7.400E+00, 4.656E-02
 1.945E+00, 7.155E+00, 4.433E-02
 1.975E+00, 6.978E+00, 4.259E-02
 2.005E+00, 6.834E+00, 4.109E-02
 2.035E+00, 6.599E+00, 3.912E-02
 2.065E+00, 6.400E+00, 3.739E-02
 2.095E+00, 6.280E+00, 3.618E-02
 2.125E+00, 6.073E+00, 3.451E-02
 2.154E+00, 6.006E+00, 3.366E-02
 2.184E+00, 5.822E+00, 3.219E-02
