# Nparticles = 134217728
# Redshift = 1.00478
# integrals: nbwsq   = 1.34218e+08
# integrals: nbsqwsq = 1.94519e+09
# power spectrum values
0 0.065 3027.81 25
1 0.075 4381.95 12
2 0.085 1913.47 25
3 0.095 2260.61 28
4 0.105 1931.57 20
5 0.115 1717.54 29
6 0.125 1386.5 48
7 0.135 1521.82 52
8 0.145 1406.45 45
9 0.155 969.929 56
10 0.165 763.948 72
11 0.175 1042.99 93
12 0.185 924.859 68
13 0.195 805.17 100
14 0.205 809.765 97
15 0.215 621.654 176
16 0.225 545.525 100
17 0.235 533.286 93
18 0.245 502.711 192
19 0.255 485.119 164
20 0.265 500.428 153
21 0.275 427.523 180
22 0.285 395.243 200
23 0.295 446.505 201
24 0.305 418.174 276
25 0.315 418.623 228
26 0.325 342.091 229
27 0.335 364.961 320
28 0.345 311.99 252
29 0.355 300.557 249
30 0.365 299.347 384
31 0.375 275.833 372
32 0.385 305.8 297
33 0.395 253.75 400
34 0.405 242.645 460
35 0.415 247.936 417
36 0.425 217.737 468
37 0.435 234.667 392
38 0.445 210.073 493
39 0.455 232.191 532
40 0.465 205.314 516
41 0.475 186.142 509
42 0.485 181.89 560
43 0.495 187.233 616
44 0.505 177.868 605
45 0.515 168.861 716
46 0.525 187.515 520
47 0.535 174.986 749
48 0.545 160.967 636
49 0.555 157.258 916
50 0.565 171.339 657
51 0.575 147.48 856
52 0.585 153.106 724
53 0.595 144.421 957
54 0.605 144.351 860
55 0.615 150.407 960
56 0.625 132.042 889
57 0.635 136.062 884
58 0.645 133.185 1064
59 0.655 124.149 1073
60 0.665 122.514 1056
61 0.675 127.823 1060
62 0.685 119.882 1157
63 0.695 118.197 1168
64 0.705 123.066 1172
65 0.715 114.947 1149
66 0.725 111.805 1416
67 0.735 107.263 1160
68 0.745 108.636 1305
69 0.755 107.857 1440
70 0.765 104.976 1476
71 0.775 110.128 1289
72 0.785 97.4443 1500
73 0.795 96.005 1580
74 0.805 100.935 1421
75 0.815 95.7712 1756
76 0.825 91.7088 1424
77 0.835 95.0055 1725
78 0.845 94.0628 1788
79 0.855 91.4125 1828
80 0.865 89.0669 1597
81 0.875 90.7368 1832
82 0.885 89.1683 1912
83 0.895 84.5871 1833
84 0.905 87.8333 2028
85 0.915 84.0194 2064
86 0.925 80.4954 2105
87 0.935 83.5278 2140
88 0.945 83.0875 1824
89 0.955 81.9027 2437
90 0.965 80.5218 2264
91 0.975 76.8866 1992
92 0.985 76.4951 2357
93 0.995 76.9099 2408
94 1.005 76.0188 2464
95 1.015 75.3453 2473
96 1.025 73.5174 2432
97 1.035 72.4853 2500
98 1.045 71.3862 2621
99 1.055 71.711 2696
100 1.065 71.5337 2732
101 1.075 69.7009 2661
102 1.085 70.2992 2956
103 1.095 68.692 2724
104 1.105 66.9217 2749
105 1.115 66.7404 3148
106 1.125 67.3708 3104
107 1.135 64.9993 2913
108 1.145 65.5062 3192
109 1.155 64.7471 3056
110 1.165 62.7689 3413
111 1.175 62.5084 3184
112 1.185 62.8582 3316
113 1.195 61.7126 3257
114 1.205 62.1209 3584
115 1.215 61.7967 3516
116 1.225 61.1987 3581
117 1.235 60.9845 3596
118 1.245 59.4633 3608
119 1.255 58.7946 3889
120 1.265 59.3515 3560
121 1.275 57.933 4152
122 1.285 57.1102 3613
123 1.295 58.5097 4112
124 1.305 56.3153 3928
125 1.315 56.5575 4341
126 1.325 56.7227 4008
127 1.335 56.2353 4268
128 1.345 53.3551 4197
129 1.355 54.6608 4624
130 1.365 54.7169 4140
131 1.375 52.7643 4529
132 1.385 52.5332 4732
133 1.395 52.623 4628
134 1.405 52.9044 4533
135 1.415 52.0334 4820
136 1.425 50.7609 4608
137 1.435 51.8122 5065
138 1.445 52.202 4896
139 1.455 50.3209 5136
140 1.465 51.1662 4897
141 1.475 50.6775 5244
142 1.485 49.485 5124
143 1.495 49.2222 5297
144 1.505 48.537 5628
145 1.515 47.8354 5156
146 1.525 46.9475 5741
147 1.535 46.7434 5564
148 1.545 47.6344 5596
149 1.555 46.5961 5749
150 1.565 45.7066 5700
151 1.575 45.9831 5748
152 1.585 46.3375 5937
153 1.595 46.2126 6220
154 1.605 46.1501 6080
155 1.615 44.0359 6121
156 1.625 44.0587 6364
157 1.635 43.8603 6148
158 1.645 43.5466 6533
159 1.655 44.3164 6700
160 1.665 44.1667 6464
161 1.675 43.8694 6569
162 1.685 42.3379 6880
163 1.695 43.2062 6548
164 1.705 42.7714 6849
165 1.715 42.3602 7016
166 1.725 41.5587 7136
167 1.735 42.1816 7225
168 1.745 41.2586 7112
169 1.755 42.1558 6940
170 1.765 40.4656 7585
171 1.775 39.4747 7584
172 1.785 40.3064 7564
173 1.795 40.2819 7569
174 1.805 39.51 7956
175 1.815 39.5717 7192
176 1.825 38.6316 7993
177 1.835 39.6484 8148
178 1.845 38.9097 8124
179 1.855 0 0
