# Nparticles = 134217728
# Redshift = 1.71556e-08
# integrals: nbwsq   = 1.34218e+08
# integrals: nbsqwsq = 1.94519e+09
# power spectrum values
0 0.065 8302.46 25
1 0.075 11959.6 12
2 0.085 5208.36 25
3 0.095 5940.72 28
4 0.105 5282.79 20
5 0.115 4833.05 29
6 0.125 3730.41 48
7 0.135 4053.15 52
8 0.145 3781.53 45
9 0.155 2678.71 56
10 0.165 2059 72
11 0.175 2834.56 93
12 0.185 2553.21 68
13 0.195 2171.39 100
14 0.205 2212.03 97
15 0.215 1821.89 176
16 0.225 1569.05 100
17 0.235 1576.46 93
18 0.245 1520.12 192
19 0.255 1506.44 164
20 0.265 1536.97 153
21 0.275 1252.43 180
22 0.285 1211.57 200
23 0.295 1250.79 201
24 0.305 1265.71 276
25 0.315 1297.24 228
26 0.325 1084.56 229
27 0.335 1072.51 320
28 0.345 1121.99 252
29 0.355 980.971 249
30 0.365 980.003 384
31 0.375 981.462 372
32 0.385 1071.47 297
33 0.395 969.352 400
34 0.405 882.004 460
35 0.415 867.395 417
36 0.425 747.096 468
37 0.435 857.5 392
38 0.445 830.496 493
39 0.455 858.132 532
40 0.465 716.732 516
41 0.475 711.848 509
42 0.485 708.276 560
43 0.495 718.557 616
44 0.505 698.508 605
45 0.515 648.219 716
46 0.525 675.234 520
47 0.535 684.497 749
48 0.545 627.414 636
49 0.555 629.469 916
50 0.565 593.536 657
51 0.575 617.472 856
52 0.585 623.053 724
53 0.595 619.126 957
54 0.605 603.676 860
55 0.615 587.002 960
56 0.625 578.382 889
57 0.635 560.484 884
58 0.645 572.633 1064
59 0.655 512.993 1073
60 0.665 543.862 1056
61 0.675 536.22 1060
62 0.685 533.925 1157
63 0.695 483.191 1168
64 0.705 527.924 1172
65 0.715 516.134 1149
66 0.725 500.244 1416
67 0.735 508.952 1160
68 0.745 480.393 1305
69 0.755 471.157 1440
70 0.765 459.63 1476
71 0.775 489.252 1289
72 0.785 457.415 1500
73 0.795 446.708 1580
74 0.805 460.464 1421
75 0.815 445.101 1756
76 0.825 440.501 1424
77 0.835 431.665 1725
78 0.845 425.008 1788
79 0.855 427.147 1828
80 0.865 428.077 1597
81 0.875 413.866 1832
82 0.885 410.142 1912
83 0.895 422.799 1833
84 0.905 401.162 2028
85 0.915 394.141 2064
86 0.925 396.332 2105
87 0.935 389.339 2140
88 0.945 390.919 1824
89 0.955 393.192 2437
90 0.965 390.839 2264
91 0.975 373.514 1992
92 0.985 371.48 2357
93 0.995 370.846 2408
94 1.005 363.463 2464
95 1.015 373.525 2473
96 1.025 355.825 2432
97 1.035 354.643 2500
98 1.045 344.408 2621
99 1.055 350.011 2696
100 1.065 336.637 2732
101 1.075 344.208 2661
102 1.085 351.718 2956
103 1.095 331.414 2724
104 1.105 331.393 2749
105 1.115 329.72 3148
106 1.125 328.046 3104
107 1.135 332.62 2913
108 1.145 330.375 3192
109 1.155 323.275 3056
110 1.165 323.318 3413
111 1.175 312.753 3184
112 1.185 314.429 3316
113 1.195 314.495 3257
114 1.205 304.561 3584
115 1.215 313.908 3516
116 1.225 311.631 3581
117 1.235 298.382 3596
118 1.245 302.24 3608
119 1.255 296.914 3889
120 1.265 280.093 3560
121 1.275 282.575 4152
122 1.285 283.568 3613
123 1.295 281.303 4112
124 1.305 281.738 3928
125 1.315 284.187 4341
126 1.325 277.98 4008
127 1.335 278.579 4268
128 1.345 275.826 4197
129 1.355 274.698 4624
130 1.365 268.907 4140
131 1.375 270.565 4529
132 1.385 269.198 4732
133 1.395 263.779 4628
134 1.405 259.844 4533
135 1.415 264.246 4820
136 1.425 260.257 4608
137 1.435 258.337 5065
138 1.445 253.396 4896
139 1.455 251.851 5136
140 1.465 248.722 4897
141 1.475 253.478 5244
142 1.485 247.869 5124
143 1.495 244.462 5297
144 1.505 248.764 5628
145 1.515 247.62 5156
146 1.525 241.963 5741
147 1.535 237.341 5564
148 1.545 237.709 5596
149 1.555 240.407 5749
150 1.565 230.603 5700
151 1.575 230.156 5748
152 1.585 226.549 5937
153 1.595 227.12 6220
154 1.605 229.808 6080
155 1.615 226.397 6121
156 1.625 219.124 6364
157 1.635 218.003 6148
158 1.645 216.134 6533
159 1.655 213.911 6700
160 1.665 213.959 6464
161 1.675 208.414 6569
162 1.685 217.542 6880
163 1.695 213.853 6548
164 1.705 208.462 6849
165 1.715 207.654 7016
166 1.725 205.613 7136
167 1.735 205.292 7225
168 1.745 203.976 7112
169 1.755 204.751 6940
170 1.765 200.935 7585
171 1.775 198.806 7584
172 1.785 198.061 7564
173 1.795 194.262 7569
174 1.805 198.615 7956
175 1.815 193.882 7192
176 1.825 189.665 7993
177 1.835 192.695 8148
178 1.845 188.096 8124
179 1.855 0 0
