Function: 2-point correlation
Method: deterministic, exact
Number of grid cells: 256^3 (top-hat smoothing with shift)
Warning: none
Procorr version 1.9
--------------------------------------------------------------
Correlation scale r [input length unit], 2-point correlation xi(r)
 8.203E-01, 3.783E+01, 1.967E-03
 1.641E+00, 7.354E+00, 1.283E-03
 2.461E+00, 3.107E+00, 9.568E-04
 3.281E+00, 1.660E+00, 7.764E-04
 4.102E+00, 1.203E+00, 6.590E-04
 4.922E+00, 8.839E-01, 5.746E-04
 5.742E+00, 7.027E-01, 5.099E-04
 6.562E+00, 5.588E-01, 4.580E-04
 7.383E+00, 4.650E-01, 4.151E-04
 8.203E+00, 3.869E-01, 3.788E-04
 9.023E+00, 3.341E-01, 3.477E-04
 9.844E+00, 2.901E-01, 3.205E-04
 1.066E+01, 2.497E-01, 2.964E-04
 1.148E+01, 2.182E-01, 2.748E-04
 1.230E+01, 1.951E-01, 2.553E-04
 1.312E+01, 1.735E-01, 2.377E-04
 1.395E+01, 1.539E-01, 2.216E-04
 1.477E+01, 1.374E-01, 2.070E-04
 1.641E+01, 1.117E-01, 1.806E-04
 1.723E+01, 1.037E-01, 1.705E-04
 1.887E+01, 8.735E-02, 1.503E-04
 2.133E+01, 6.736E-02, 1.255E-04
 2.297E+01, 5.553E-02, 1.129E-04
 2.625E+01, 3.332E-02, 8.963E-05
 3.035E+01, 1.879E-02, 6.853E-05
 3.527E+01, 1.246E-02, 5.062E-05
 4.184E+01, 4.183E-03, 3.458E-05
 5.250E+01,-3.401E-03, 2.023E-05
